Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,459.329987,467.899994,455.750000,464.809998,464.809998,988500
2016-04-04,466.489990,473.170013,444.440002,451.250000,451.250000,4409900
2016-04-11,453.540009,469.980011,434.059998,469.290009,469.290009,5392400
2016-04-18,468.000000,468.989990,438.260010,442.730011,442.730011,3719300
2016-04-25,442.700012,447.269989,415.000000,420.970001,420.970001,8973100
2016-05-02,422.000000,447.459991,420.329987,433.809998,433.809998,4273000
2016-05-09,435.049988,464.899994,435.049988,458.350006,458.350006,5237500
2016-05-16,452.070007,454.369995,438.529999,449.920013,449.920013,4697700
2016-05-23,452.619995,467.000000,442.649994,445.410004,445.410004,4131300
2016-05-30,445.000000,446.929993,431.309998,433.940002,433.940002,3668600
2016-06-06,436.119995,447.079987,403.130005,405.260010,405.260010,5496100
2016-06-13,400.260010,405.399994,384.769989,397.269989,397.269989,7028700
2016-06-20,399.790009,413.570007,387.890015,400.730011,400.730011,6128400
2016-06-27,399.559998,410.339996,386.700012,393.910004,393.910004,5206700
2016-07-04,395.000000,404.089996,386.100006,399.709991,399.709991,4477700
2016-07-11,407.010010,422.179993,401.130005,404.859985,404.859985,5885500
2016-07-18,404.920013,444.130005,402.260010,442.480011,442.480011,8222500
2016-07-25,443.000000,443.500000,421.269989,423.989990,423.989990,4894300
2016-08-01,423.600006,426.000000,394.339996,401.130005,401.130005,4667600
2016-08-08,402.480011,404.760010,391.200012,397.329987,397.329987,3485700
2016-08-15,397.329987,405.260010,387.010010,388.500000,388.500000,4560800
2016-08-22,389.000000,419.230011,388.529999,418.750000,418.750000,5507600
2016-08-29,420.000000,426.619995,408.049988,408.410004,408.410004,5333300
2016-09-05,408.250000,441.200012,406.019989,426.549988,426.549988,6437400
2016-09-12,423.390015,429.739990,406.500000,409.320007,409.320007,4990600
2016-09-19,409.480011,417.739990,395.109985,413.809998,413.809998,5554000
2016-09-26,412.730011,428.899994,408.589996,423.500000,423.500000,4436100
2016-10-03,423.029999,434.140015,422.540009,429.910004,429.910004,3719200
2016-10-10,433.720001,440.000000,403.160004,404.140015,404.140015,5851900
2016-10-17,401.049988,415.459991,389.100006,411.940002,411.940002,5134800
2016-10-24,416.440002,417.829987,362.820007,370.079987,370.079987,12942200
2016-10-31,370.109985,379.000000,352.959991,370.429993,370.429993,6654400
2016-11-07,377.049988,398.950012,368.899994,397.079987,397.079987,8140100
2016-11-14,398.559998,419.299988,394.109985,411.799988,411.799988,6651800
2016-11-21,410.589996,414.739990,401.649994,410.279999,410.279999,2654200
2016-11-28,406.989990,409.890015,394.690002,400.029999,400.029999,4267000
2016-12-05,400.019989,410.829987,362.450012,370.000000,370.000000,10306600
2016-12-12,375.309998,394.880005,374.000000,392.070007,392.070007,6893200
2016-12-19,390.540009,396.450012,387.260010,389.769989,389.769989,3421200
2016-12-26,388.519989,392.329987,375.130005,377.320007,377.320007,2820100
2017-01-02,379.109985,399.799988,372.869995,398.440002,398.440002,4319700
2017-01-09,398.700012,420.230011,392.109985,410.750000,410.750000,6703500
2017-01-16,406.410004,411.869995,399.029999,405.200012,405.200012,2702200
2017-01-23,405.709991,425.609985,402.010010,416.600006,416.600006,3076400
2017-01-30,416.209991,434.589996,402.890015,404.079987,404.079987,6966300
2017-02-06,398.809998,420.760010,395.079987,413.359985,413.359985,6017700
2017-02-13,415.720001,428.519989,413.510010,427.609985,427.609985,3151000
2017-02-20,429.000000,434.690002,411.619995,420.899994,420.899994,3092200
2017-02-27,421.709991,425.589996,412.410004,416.089996,416.089996,2747000
2017-03-06,411.100006,417.570007,402.160004,407.750000,407.750000,3298000
2017-03-13,408.000000,409.760010,397.809998,402.579987,402.579987,3344200
2017-03-20,402.549988,418.670013,394.190002,414.019989,414.019989,3963100
2017-03-27,409.869995,453.079987,409.489990,445.519989,445.519989,5594200
2017-04-03,449.200012,459.450012,446.760010,447.339996,447.339996,4143900
2017-04-10,447.239990,466.769989,445.250000,463.619995,463.619995,3322300
2017-04-17,465.000000,483.500000,461.700012,479.089996,479.089996,3752300
2017-04-24,482.750000,497.480011,465.200012,474.470001,474.470001,8996900
2017-05-01,473.010010,490.670013,465.989990,475.299988,475.299988,4717000
2017-05-08,475.660004,495.970001,468.070007,489.329987,489.329987,3573700
2017-05-15,488.750000,499.000000,476.040009,484.989990,484.989990,3657200
2017-05-22,485.170013,485.779999,474.000000,480.149994,480.149994,2714700
2017-05-29,475.279999,487.519989,471.529999,478.070007,478.070007,2452600
2017-06-05,478.250000,478.779999,457.019989,460.850006,460.850006,4045300
2017-06-12,459.790009,468.040009,450.100006,451.089996,451.089996,3241100
2017-06-19,452.970001,459.320007,414.299988,415.279999,415.279999,8260600
2017-06-26,416.019989,423.750000,410.980011,416.100006,416.100006,4324500
