Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,131.490005,134.100006,131.240005,133.470001,129.674698,676900
2016-04-04,133.850006,137.710007,131.199997,137.050003,133.152924,3572000
2016-04-11,137.940002,139.419998,135.300003,138.619995,134.678253,2513400
2016-04-18,138.119995,140.800003,131.729996,132.410004,128.644821,3405700
2016-04-25,132.479996,134.750000,119.019997,120.879997,117.442688,8790200
2016-05-02,120.919998,121.650002,116.910004,119.309998,115.917336,5071100
2016-05-09,119.230003,123.680000,119.230003,121.949997,118.482262,3366500
2016-05-16,122.260002,123.430000,118.820000,123.059998,119.560699,3508200
2016-05-23,123.000000,123.489998,121.110001,122.180000,118.705742,4976100
2016-05-30,122.480003,123.250000,120.349998,122.209999,118.734871,5463500
2016-06-06,122.029999,127.580002,121.800003,126.250000,122.660004,3316200
2016-06-13,125.190002,127.720001,123.839996,127.290001,123.670425,2832100
2016-06-20,128.440002,128.830002,124.480003,124.970001,121.782959,3134000
2016-06-27,124.000000,132.770004,120.970001,132.589996,129.208618,4474800
2016-07-04,132.589996,137.020004,131.860001,135.110001,131.664368,2942500
2016-07-11,135.589996,136.660004,134.220001,135.699997,132.239304,3347000
2016-07-18,135.970001,148.990005,134.779999,148.779999,144.985733,7090800
2016-07-25,148.130005,149.130005,145.419998,147.300003,143.543457,3429500
2016-08-01,146.940002,148.029999,144.639999,146.179993,142.452011,2015800
2016-08-08,145.820007,146.720001,144.289993,146.130005,142.403305,1280700
2016-08-15,145.949997,148.000000,143.470001,147.279999,143.523987,2203100
2016-08-22,147.320007,151.199997,147.149994,148.350006,144.566711,2706900
2016-08-29,148.350006,151.179993,148.000000,151.000000,147.149094,2020000
2016-09-05,151.139999,151.139999,145.649994,146.130005,142.403305,1716600
2016-09-12,145.179993,152.070007,145.000000,150.029999,146.203842,3076300
2016-09-19,150.940002,155.100006,150.669998,154.259995,150.707214,2623500
2016-09-26,153.899994,154.240005,150.910004,151.850006,148.352722,2095100
2016-10-03,152.119995,153.119995,150.000000,150.839996,147.366028,1993700
2016-10-10,151.600006,153.940002,149.669998,151.119995,147.639557,3506400
2016-10-17,151.559998,166.520004,151.229996,166.360001,162.528549,8689300
2016-10-24,167.169998,168.089996,163.800003,167.919998,164.052612,2693300
2016-10-31,168.250000,169.979996,165.470001,166.759995,162.919357,2930300
2016-11-07,168.570007,171.509995,158.059998,159.619995,155.943771,4496500
2016-11-14,160.300003,164.529999,153.580002,164.309998,160.525757,3661400
2016-11-21,164.720001,172.619995,164.720001,172.259995,168.292664,1573300
2016-11-28,171.660004,171.889999,165.460007,168.000000,164.130798,2257400
2016-12-05,168.729996,169.600006,162.360001,163.570007,159.802826,3117000
2016-12-12,162.940002,164.020004,157.970001,160.039993,156.354111,3182800
2016-12-19,160.210007,163.929993,159.899994,161.570007,158.220322,1975800
2016-12-26,161.460007,162.960007,158.940002,159.240005,155.938614,1361900
2017-01-02,159.220001,164.399994,156.259995,163.490005,160.100525,2507600
2017-01-09,163.330002,172.000000,163.089996,167.160004,163.694412,3060200
2017-01-16,166.649994,168.720001,164.320007,167.869995,164.389694,1786800
2017-01-23,167.679993,172.389999,165.669998,172.020004,168.453674,2264500
2017-01-30,171.130005,177.300003,170.059998,175.889999,172.243454,4044100
2017-02-06,175.229996,187.940002,175.039993,186.369995,182.506149,4595300
2017-02-13,187.000000,187.990005,182.880005,187.929993,184.033798,2697600
2017-02-20,188.210007,189.880005,182.059998,186.279999,182.418030,3695000
2017-02-27,185.699997,192.009995,182.259995,189.039993,185.120804,5910500
2017-03-06,188.289993,190.110001,183.750000,186.729996,182.858704,3008700
2017-03-13,185.960007,187.369995,183.029999,184.830002,180.998077,3857100
2017-03-20,184.720001,186.710007,182.199997,182.949997,179.599487,4124900
2017-03-27,182.000000,186.110001,181.229996,184.300003,180.924789,2616500
2017-04-03,184.070007,187.880005,174.919998,175.160004,171.952179,5123100
2017-04-10,175.169998,176.449997,173.000000,174.039993,170.852661,3307000
2017-04-17,173.860001,180.149994,173.860001,179.300003,176.016342,4234300
2017-04-24,181.710007,188.850006,179.639999,181.389999,178.068069,6353900
2017-05-01,181.000000,193.529999,181.000000,193.119995,189.583282,4252900
2017-05-08,193.190002,196.389999,191.389999,195.279999,191.703705,2859900
2017-05-15,195.929993,198.000000,189.119995,195.800003,192.214157,3596800
2017-05-22,197.470001,208.300003,196.509995,207.050003,203.258133,3690100
2017-05-29,207.000000,219.410004,206.679993,218.050003,214.056686,2834000
2017-06-05,217.990005,218.630005,204.630005,206.190002,202.413895,3650700
2017-06-12,205.000000,212.750000,201.100006,210.839996,206.978729,4171500
2017-06-19,211.130005,218.630005,211.029999,217.050003,213.556412,3120000
2017-06-26,217.520004,221.580002,207.759995,211.529999,208.125229,3114800
2017-07-03,211.550003,213.750000,205.160004,212.320007,208.902542,1828100
2017-07-10,212.690002,214.970001,208.809998,209.210007,205.842590,3500400
2017-07-17,209.110001,214.059998,206.000000,213.220001,209.788040,3937400
