Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,29.440001,30.170000,29.410000,30.040001,26.924288,48363700
2016-04-04,30.090000,33.080002,30.059999,32.500000,29.129133,598816900
2016-04-11,32.520000,32.779999,31.799999,32.500000,29.129133,229446700
2016-04-18,32.500000,33.500000,32.290001,33.270000,29.819275,160314700
2016-04-25,33.130001,33.330002,32.430000,32.709999,29.317354,146344000
2016-05-02,32.560001,33.970001,32.500000,33.580002,30.097120,192609000
2016-05-09,33.540001,33.959999,32.919998,33.189999,29.747570,132388300
2016-05-16,32.930000,33.900002,32.810001,33.740002,30.511341,134708700
2016-05-23,33.830002,34.750000,33.650002,34.610001,31.298086,118662600
2016-05-30,34.669998,34.990002,34.380001,34.689999,31.370420,112859100
2016-06-06,34.700001,35.500000,34.619999,35.290001,31.913015,111093400
2016-06-13,35.020000,35.189999,34.060001,34.220001,30.945402,137612100
2016-06-20,34.480000,34.950001,33.740002,33.970001,30.719324,140933600
2016-06-27,33.799999,35.650002,33.529999,35.570000,32.166218,124722700
2016-07-04,35.540001,36.189999,35.380001,36.119999,32.663582,82473400
2016-07-11,36.070000,37.189999,36.029999,36.770000,33.251392,99321900
2016-07-18,36.689999,36.990002,36.520000,36.740002,33.224262,72449000
2016-07-25,36.799999,36.950001,36.500000,36.889999,33.359898,76997300
2016-08-01,37.020000,37.389999,35.060001,35.439999,32.048656,156322900
2016-08-08,35.279999,35.299999,34.709999,34.980000,31.895624,90124400
2016-08-15,35.049999,35.360001,34.750000,34.980000,31.895624,80221600
2016-08-22,34.799999,35.380001,34.660000,34.820000,31.749731,102415800
2016-08-29,34.939999,35.180000,34.610001,34.770000,31.704145,80627000
2016-09-05,34.880001,34.990002,34.090000,34.099998,31.093222,72353700
2016-09-12,34.000000,34.730000,33.549999,33.939999,30.947325,105469600
2016-09-19,33.990002,34.430000,33.590000,34.259998,31.239107,76852800
2016-09-26,33.919998,34.070000,33.299999,33.869999,30.883495,113082000
2016-10-03,33.730000,34.000000,33.380001,33.560001,30.600834,83510700
2016-10-10,33.650002,33.840000,32.520000,32.660000,29.780193,88541200
2016-10-17,32.580002,32.869999,32.180000,32.180000,29.342518,86151000
2016-10-24,32.299999,32.810001,31.879999,31.930000,29.114563,102786900
2016-10-31,32.040001,32.040001,29.830000,30.000000,27.354738,197741400
2016-11-07,30.230000,33.830002,29.959999,32.590000,29.716362,288100800
2016-11-14,32.849998,32.900002,31.440001,31.480000,28.990519,132564500
2016-11-21,31.510000,31.990000,30.629999,31.690001,29.183910,80012800
2016-11-28,31.690001,32.369999,31.360001,31.629999,29.128653,127511100
2016-12-05,31.740000,31.920000,30.510000,31.700001,29.193123,145904600
2016-12-12,31.700001,33.299999,31.660000,32.840000,30.242970,153732200
2016-12-19,32.759998,32.970001,32.049999,32.480000,29.911436,98149200
2016-12-26,32.570000,32.720001,32.310001,32.480000,29.911436,58026100
2017-01-02,32.700001,33.700001,32.590000,33.480000,30.832354,81259600
2017-01-09,33.430000,33.669998,32.299999,32.520000,29.948277,132299200
2017-01-16,32.349998,32.380001,31.530001,31.770000,29.257586,109751400
2017-01-23,31.680000,31.820000,30.900000,31.420000,28.935263,137794800
2017-01-30,31.469999,32.240002,30.930000,32.090000,29.552280,152772100
2017-02-06,32.000000,32.540001,31.920000,32.349998,30.095230,112930000
2017-02-13,32.439999,33.889999,32.349998,33.619999,31.276712,162376900
2017-02-20,33.570000,34.349998,33.250000,34.259998,31.872105,106487100
2017-02-27,34.230000,34.750000,33.910000,34.520000,32.113979,125960600
2017-03-06,34.330002,34.470001,33.720001,34.110001,31.732559,108389200
2017-03-13,34.139999,34.700001,33.910000,34.320000,31.927927,120857400
2017-03-20,34.400002,34.610001,33.939999,34.000000,31.630228,122399500
2017-03-27,33.740002,34.450001,33.740002,34.209999,31.825596,87110300
2017-04-03,34.110001,34.520000,34.040001,34.099998,31.723259,86909800
2017-04-10,34.130001,34.220001,33.709999,33.880001,31.518591,72667500
2017-04-17,33.900002,34.049999,33.470001,33.639999,31.295317,102801400
2017-04-24,33.980000,34.029999,33.650002,33.919998,31.555799,90551500
2017-05-01,33.889999,33.990002,32.880001,33.480000,31.146471,135607300
2017-05-08,33.400002,33.619999,32.849998,33.009998,30.709230,116366600
2017-05-15,32.970001,33.180000,32.070000,32.459999,30.489857,140094700
2017-05-22,32.500000,32.500000,31.969999,32.139999,30.189276,94286700
2017-05-29,32.060001,32.880001,32.020000,32.540001,30.565004,89818300
2017-06-05,32.509998,32.799999,31.670000,32.770000,30.781042,112479900
2017-06-12,32.770000,33.130001,32.459999,32.970001,30.968903,110673400
2017-06-19,32.939999,34.480000,32.910000,34.169998,32.096062,124811900
2017-06-26,34.160000,34.209999,33.369999,33.590000,31.551275,72664700
2017-07-03,33.480000,33.970001,33.020000,33.349998,31.325840,55631000
2017-07-10,33.360001,33.549999,32.990002,33.430000,31.400986,65461700
2017-07-17,33.439999,33.700001,33.040001,33.480000,31.447948,79183800
2017-07-24,33.380001,33.480000,32.689999,33.150002,31.137980,83173600
2017-07-31,33.209999,34.000000,32.700001,33.639999,31.598236,130529100
2017-08-07,33.549999,33.590000,33.160000,33.250000,31.536985,74641000
2017-08-14,33.330002,33.529999,32.650002,32.669998,30.986862,70758300
2017-08-21,32.599998,33.619999,32.320000,33.389999,31.669773,72418300
2017-08-28,33.500000,34.130001,33.240002,33.959999,32.210403,80430100
2017-09-04,33.880001,34.250000,33.750000,34.099998,32.343197,60818400
2017-09-11,34.090000,35.840000,33.980000,35.360001,33.538277,130916300
2017-09-18,35.380001,36.209999,35.209999,35.959999,34.107365,88645000
2017-09-25,35.900002,36.029999,35.189999,35.700001,33.860764,88516700
2017-10-02,35.669998,36.240002,35.490002,36.049999,34.192730,66752100
2017-10-09,36.060001,36.599998,35.930000,36.340000,34.467789,71487800
2017-10-16,36.349998,36.480000,35.750000,36.419998,34.543663,79310900
2017-10-23,36.299999,36.779999,35.400002,35.599998,33.765907,79173400
2017-10-30,35.430000,35.730000,34.099998,35.549999,33.718487,86593400
2017-11-06,35.590000,35.610001,34.799999,35.180000,33.367558,63479400
2017-11-13,35.220001,35.700001,35.139999,35.369999,33.854309,80903700
2017-11-20,35.380001,35.730000,35.270000,35.490002,33.969170,41417800
2017-11-27,35.520000,36.500000,35.380001,36.349998,34.792316,79991100
2017-12-04,36.490002,36.619999,35.150002,35.740002,34.208454,84495500
2017-12-11,36.040001,37.230000,35.689999,37.200001,35.605892,105202800
2017-12-18,37.220001,37.349998,36.049999,36.139999,34.591312,69291400
2017-12-25,36.090000,36.529999,35.950001,36.220001,34.667889,37217500
2018-01-01,36.380001,36.919998,36.230000,36.860001,35.280457,54513300
2018-01-08,36.720001,36.799999,36.310001,36.540001,34.974171,86280500
2018-01-15,36.570000,37.369999,36.470001,36.939999,35.357029,101438000
2018-01-22,36.889999,39.090000,36.540001,39.009998,37.338333,122400900
2018-01-29,39.000000,39.430000,36.509998,36.610001,35.041172,167371400
2018-02-05,36.480000,36.700001,33.200001,34.160000,32.999069,213621700
2018-02-12,34.450001,36.660000,34.029999,36.259998,35.027702,128127100
2018-02-19,36.020000,36.590000,35.610001,36.259998,35.027702,90131100
2018-02-26,36.290001,37.279999,35.200001,35.950001,34.728233,123212100
2018-03-05,35.820000,36.919998,35.549999,36.770000,35.520367,99346100
2018-03-12,36.919998,37.040001,36.180000,36.779999,35.530025,127271700
2018-03-19,36.799999,36.799999,34.439999,34.490002,33.317852,105172100
2018-03-26,34.930000,35.810001,34.320000,35.490002,34.283871,99540900
2018-04-02,35.419998,36.230000,34.759998,35.169998,33.974743,113616600
2018-04-09,35.299999,36.500000,35.220001,36.320000,35.085663,91647800
2018-04-16,36.500000,36.790001,36.270000,36.630001,35.385128,82798000
2018-04-23,36.669998,37.270000,36.509998,37.000000,35.742550,109154100
2018-04-30,37.130001,37.180000,34.369999,34.840000,33.655956,144628100
2018-05-07,34.790001,35.560001,34.709999,35.500000,34.293530,116514700
2018-05-14,35.509998,35.919998,35.430000,35.639999,34.764854,86771800
2018-05-21,35.709999,36.090000,35.520000,35.680000,34.803871,80244800
2018-05-28,35.369999,36.279999,35.320000,36.250000,35.359879,104881300
2018-06-04,36.410000,36.709999,36.189999,36.669998,35.769562,88611600
2018-06-11,36.799999,36.799999,36.029999,36.360001,35.467178,114822700
2018-06-18,36.130001,36.639999,35.730000,36.509998,35.613491,102366100
2018-06-25,36.320000,36.590000,36.110001,36.279999,35.389137,106960700
2018-07-02,36.000000,37.240002,36.000000,37.110001,36.198761,60257200
2018-07-09,37.270000,37.590000,37.009998,37.529999,36.608448,87837500
2018-07-16,37.480000,37.770000,37.119999,37.330002,36.413361,82126900
2018-07-23,37.340000,38.480000,37.139999,38.410000,37.466835,97515600
2018-07-30,38.360001,40.660000,38.139999,40.540001,39.544537,156357800
2018-08-06,40.360001,41.639999,40.330002,40.930000,40.264915,104641000
2018-08-13,40.950001,42.189999,40.540001,42.090000,41.406067,95559600
