Date,Open,High,Low,Close,Adj Close,Volume
2016-03-28,37.330002,38.070000,37.330002,37.990002,37.990002,1179500
2016-04-04,38.049999,38.520000,36.220001,36.450001,36.450001,4216500
2016-04-11,36.509998,36.689999,35.310001,35.759998,35.759998,5351400
2016-04-18,35.709999,37.259998,35.709999,36.560001,36.560001,6190600
2016-04-25,36.480000,36.689999,33.669998,34.180000,34.180000,6593500
2016-05-02,34.240002,35.450001,33.799999,34.919998,34.919998,7506100
2016-05-09,34.790001,37.000000,34.340000,36.959999,36.959999,7130500
2016-05-16,36.970001,37.360001,33.060001,36.369999,36.369999,16375800
2016-05-23,36.470001,39.060001,36.080002,38.799999,38.799999,8245700
2016-05-30,38.750000,39.299999,38.000000,38.790001,38.790001,5787500
2016-06-06,38.750000,40.169998,38.439999,39.040001,39.040001,9996500
2016-06-13,38.669998,39.380001,36.820000,37.090000,37.090000,9125600
2016-06-20,37.430000,38.110001,35.990002,35.990002,35.990002,7772600
2016-06-27,35.630001,38.430000,35.000000,37.919998,37.919998,6954800
2016-07-04,37.840000,40.130001,37.730000,39.840000,39.840000,3938600
2016-07-11,39.990002,41.709999,38.740002,40.450001,40.450001,8749400
2016-07-18,40.540001,41.080002,39.910000,40.570000,40.570000,4530000
2016-07-25,40.380001,40.910000,39.980000,40.180000,40.180000,3449100
2016-08-01,40.060001,42.980000,40.000000,41.369999,41.369999,7817600
2016-08-08,41.419998,41.830002,40.650002,41.340000,41.340000,8918800
2016-08-15,41.500000,42.490002,40.720001,40.980000,40.980000,6744700
2016-08-22,40.759998,42.689999,40.630001,42.240002,42.240002,6838000
2016-08-29,42.439999,45.040001,42.320000,44.700001,44.700001,8317500
2016-09-05,44.910000,45.040001,42.689999,42.740002,42.740002,6536000
2016-09-12,42.540001,45.799999,42.349998,44.730000,44.730000,7068800
2016-09-19,44.930000,46.779999,44.169998,46.320000,46.320000,6856800
2016-09-26,46.029999,46.439999,44.830002,45.080002,45.080002,7190500
2016-10-03,44.790001,46.490002,44.500000,44.689999,44.689999,5452300
2016-10-10,44.810001,45.209999,41.700001,42.689999,42.689999,12986600
2016-10-17,44.500000,45.849998,43.930000,44.990002,44.990002,14655400
2016-10-24,45.470001,46.220001,44.279999,44.709999,44.709999,6823400
2016-10-31,44.990002,49.990002,43.330002,48.299999,48.299999,15911000
2016-11-07,49.040001,50.189999,45.869999,47.950001,47.950001,10717100
2016-11-14,48.419998,49.209999,46.049999,47.639999,47.639999,13830700
2016-11-21,47.570000,49.189999,46.959999,48.810001,48.810001,3789500
2016-11-28,49.209999,50.540001,46.270000,47.459999,47.459999,8852000
2016-12-05,47.480000,50.560001,47.480000,49.779999,49.779999,4867900
2016-12-12,49.759998,51.340000,49.150002,49.250000,49.250000,7372400
2016-12-19,49.139999,50.570000,48.639999,49.880001,49.880001,2983300
2016-12-26,50.139999,50.529999,48.849998,49.290001,49.290001,3357100
2017-01-02,49.349998,50.689999,48.580002,49.950001,49.950001,3847600
2017-01-09,49.869999,51.810001,49.590000,51.610001,51.610001,4205400
2017-01-16,51.540001,52.389999,51.000000,52.349998,52.349998,3136300
2017-01-23,52.209999,54.200001,51.830002,53.689999,53.689999,4705400
2017-01-30,53.509998,55.470001,52.880001,53.930000,53.930000,6417100
2017-02-06,53.970001,58.340000,53.349998,57.880001,57.880001,13280700
2017-02-13,57.820000,60.200001,57.380001,59.689999,59.689999,11554800
2017-02-20,59.990002,59.990002,57.070000,57.560001,57.560001,6635400
2017-02-27,57.660000,59.070000,56.790001,58.119999,58.119999,6707300
2017-03-06,58.119999,59.830002,58.000000,59.000000,59.000000,5874600
2017-03-13,59.419998,59.959999,57.990002,58.009998,58.009998,23019500
2017-03-20,58.209999,59.020000,56.500000,58.119999,58.119999,6568600
2017-03-27,57.419998,59.439999,57.330002,59.270000,59.270000,7069100
2017-04-03,59.150002,59.730000,57.490002,58.470001,58.470001,6247900
2017-04-10,58.540001,58.830002,57.360001,57.529999,57.529999,4089900
2017-04-17,57.549999,62.669998,57.549999,62.290001,62.290001,8032000
2017-04-24,63.279999,63.700001,62.310001,62.849998,62.849998,5744400
2017-05-01,63.070000,65.440002,62.720001,65.419998,65.419998,4819200
2017-05-08,65.589996,68.769997,64.889999,67.980003,67.980003,8293800
2017-05-15,68.000000,70.529999,65.629997,67.580002,67.580002,9639900
